MNEMONIC,LEARNING OUTCOME
ds6013,Collect and manage data to devise solutions to assigned research projects
ds6013,"Select, apply, and evaluate models, tools, and methods to address research projects"
ds6013,Interpret and assess results and evaluate the limitations of research findings
ds6013,"Resolve group work allocation, leadership, and cooperation issues"
