MNEMONIC,LEARNING OUTCOME
ds6011,Collect and manage data to devise solutions to assigned research projects
ds6011,"Select, apply, and evaluate models, tools, and methods to address research projects"
ds6011,Interpret and assess results and evaluate the limitations of research findings
ds6011,"Resolve group work allocation, leadership, and cooperation issues"
